symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d
HMSTRUSDT,HMSTR,Speculative,,0.0001558,165349.965494,2.164,53.337916448911855,-2.4897898293984813e-07,0.000149016,0.00022032750000000004,0.9715545685464965,0.310126582278481,0.17668776371308018,0.018160346540196017,0.5978721527159572,0.0001376,0.00018220277777777777,macd_bearish_cross|double_top_90d,0,2,baissier,365,0,0,30,,,17.0,57.0,73.0,47.0,0,51.46,False,False,,0,,,,47
GLMRUSDT,GLMR,Speculative,,0.0174,387869.36539,0.578,60.58413344833996,1.8638492603942737e-05,0.012889999999999997,0.02159949999999999,1.7828987761236055,0.3625,0.09424083769633505,0.004050547091507976,0.47493890090399715,0.010622222222222224,0.017275,,0,0,neutre,365,0,0,30,,,17.0,57.0,56.5,47.0,50,51.45,False,False,,0,,,,56
SCRTUSDT,SCRT,Speculative,627,0.102,185821.74594,-0.971,51.654958158383565,-0.0015422631451432857,0.091144,0.11871799999999996,1.0050510136210482,0.35416666666666663,0.11441048034934498,0.02002507315355721,0.7275264634825693,0.07460833333333333,0.10859999999999997,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,57.0,54.5,47.0,56.0,51.44,False,False,,0,,,,57
ORCAUSDT,ORCA,Mid,250,2.042,28202939.81404,4.664,80.11308108911376,0.10853929079164332,1.0502399999999996,1.1217300000000003,1.4280070833685943,0.3806306306306307,0.05023255813953493,0.2038294883834608,0.32807145764551443,0.789,1.4663333333333328,,0,0,neutre,365,0,0,30,,,31.0,39.0,67.0,78.5,50,51.36,False,False,,0,,,,41
AVNTUSDT,AVNT,Mid,500,0.1469,688264.42526,-0.609,50.24248613702864,-9.622147421039281e-05,0.14221,0.293893,1.229552235517017,0.4622067767158992,0.36272806255430057,0.013851427246366291,0.6306088138952365,0.13068333333333332,0.20361666666666672,macd_bearish_cross|uptrend,1,1,mixte,231,0,0,30,,,27.3,57.0,58.0,57.5,26.2,51.3,False,False,,0,,,,51
BANANAS31USDT,BANANAS31,Mid,292,0.010183,6716505.033996,5.501,53.566631729998285,0.0001106766240537473,0.010768139999999999,0.005670495,1.0131054624268572,0.4064549986880084,0.33154027814222,0.006138610336298608,0.12765203417091892,0.0041305,0.013037527777777775,macd_bullish_cross|double_bottom_90d|uptrend,3,0,haussier,365,0,0,30,,,31.0,45.0,52.0,78.5,69.7,51.1,False,False,,0,,,,57
EGLDUSDT,EGLD,Mid,257,4.09,194669.056,-0.244,48.82427622769081,-0.02287417423770466,4.027,6.000350000000001,0.6412686010484135,0.2998102466793168,0.22390891840607208,0.0028161634102301636,0.7229275219552633,3.773611111111111,4.786944444444445,macd_bearish_cross|evening_star_4h,0,2,baissier,365,0,0,30,,,31.0,57.0,65.0,47.0,7.4,51.06,False,False,,0,,,,47
APEUSDT,APE,Mid,198,0.1747,9981608.110888,-2.019,67.96460899247063,0.004768011471534515,0.106304,0.19964999999999997,2.27526389761815,0.43326488706365507,0.03425414364640875,0.012981803160282274,0.3808322941290821,0.08608888888888885,0.1548277777777778,uptrend|evening_star_4h,1,1,mixte,365,0,0,30,,,31.0,48.0,56.5,78.5,43.9,51.05,False,False,,0,,,,49
BICOUSDT,BICO,Speculative,,0.0252,204388.989136,-0.787,50.76491286318574,-0.00022593458411584283,0.023884,0.038736000000000013,1.1141430054392714,0.3758389261744967,0.15999999999999998,0.004891827951951517,0.5779342054063161,0.020122222222222222,0.027330555555555556,macd_bearish_cross|uptrend|doji_4h,1,1,mixte,365,0,0,30,,,17.0,57.0,62.5,47.0,26.2,50.88,False,False,,0,,,,51
TSTUSDT,TST,Speculative,,0.01206,889183.272165,14.096,57.25679566865173,-5.201757644688839e-05,0.009837399999999998,0.013597400000000004,2.0253715452349974,0.3350210970464135,0.20710455764075061,0.4092410710425358,0.4882346940703189,0.008340833333333334,0.012070000000000003,,0,0,neutre,365,0,0,30,,,17.0,57.0,52.0,57.5,50,50.87,False,False,,0,,,,55
