symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,categories
SLPUSDT,SLP,Speculative,,0.000658,1953935.778409,-1.201,63.062428898279805,7.691515741491961e-06,0.0005933399999999999,0.00085812,0.6002246487143219,0.5419708029197081,0.3968978102189781,3.67810320059684,0.6536821237693189,0.0005463888888888889,0.0008769166666666667,downtrend,0,1,baissier,365,0,0,30,,,17.0,84.0,59.5,68.0,37.5,56.75,False,
HMSTRUSDT,HMSTR,Speculative,,0.000158,1571163.1509862,-3.127,57.008304116076,3.665555710350674e-06,0.000149796,0.00025128,0.9696925053212057,0.532690246516613,0.42550911039657013,3.774598012886111,0.5117641497733602,0.00013759999999999998,0.00021964444444444442,downtrend,0,1,baissier,365,0,0,30,,,17.0,84.0,59.5,68.0,37.5,56.75,False,
PROMUSDT,PROM,Mid,498,2.1,11250027.78853,29.231,91.25457011251198,0.12286526268186446,1.12886,5.51087,1.721765561536771,0.6664342976646916,0.12234227953990952,6.876453456870188,0.4672347209554413,1.0029166666666667,2.097111111111111,breakout_30d|double_bottom_90d,2,0,haussier,365,0,0,30,,,31.0,57.0,43.0,78.5,75.0,56.7,False,Smart Contract Platform|BNB Chain Ecosystem|Ethereum Ecosystem|Layer 2 (L2)
AXSUSDT,AXS,Mid,182,1.134,3999289.32454,-5.97,50.78644217850647,0.010653501442822426,1.15492,1.3368950000000002,0.5354772970396559,0.6335149863760218,0.6086512261580381,1.0597871028630232,0.4003669290401009,1.0949722222222222,2.1410555555555555,double_bottom_90d,1,0,haussier,365,0,0,60,,,31.0,55.0,65.5,74.0,62.5,56.7,False,Gaming (GameFi)|NFT|BNB Chain Ecosystem|Axie Infinity Ecosystem|Metaverse
BROCCOLI714USDT,BROCCOLI714,Speculative,,0.01576,3391698.52463,-5.232,58.90924384182611,0.00046164036928010284,0.013306,0.01753355,1.5572792545007337,0.42364532019704426,0.2078817733990147,1.446627585901157,0.5654327785530976,0.0120275,0.01857388888888889,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,75.0,52.0,68.0,62.5,56.67,False,
HBARUSDT,HBAR,Etabli,29,0.08889,9047187.13757,-4.151,48.945617040579556,0.0004810129536482379,0.0922324,0.1259197,0.4378550078013572,0.2953643578643579,0.1956168831168831,0.6092906705964192,0.8751881505182992,0.08600999999999999,0.1060288888888889,macd_bullish_cross|macd_bearish_cross|double_top_90d,1,2,baissier,365,0,0,60,,,45.0,46.0,75.5,84.5,37.5,56.65,False,Smart Contract Platform|Layer 1 (L1)|Hedera Ecosystem|GMCI Layer 1 Index|GMCI 30 Index
WLDUSDT,WLD,Etabli,78,0.2686,33547964.86766,-12.251,44.95250025661381,0.005119104937073233,0.322216,0.5630545,1.1714844276081526,0.5839466027725484,0.5278110559644019,1.640278915613578,0.6952838496618119,0.26870277777777773,0.4650027777777778,double_bottom_90d|downtrend|doji_4h,1,1,mixte,365,0,0,60,,,45.0,55.0,44.5,84.5,50.0,56.58,False,Smart Contract Platform|Ethereum Ecosystem|Decentralized Identifier (DID)|Optimism Ecosystem|Coinbase Ventures Portfolio
COOKIEUSDT,COOKIE,Speculative,,0.0187,867460.76554,1.63,61.6888918630178,0.0003376657763416594,0.017668,0.044753,0.6848598660777683,0.5145631067961165,0.4012944983818771,1.9074855554114853,0.6980578121683719,0.015866666666666668,0.02673888888888889,doji_4h,0,0,neutre,365,0,0,30,,,17.0,84.0,59.5,57.5,50,56.52,False,
CGPTUSDT,CGPT,Speculative,,0.02236,494140.030902,-1.411,63.87467370520418,0.00044693627143385775,0.0208302,0.0346172,0.5863446930848577,0.4506229109693103,0.31419021573989675,1.1995561785423847,0.6991511321265935,0.018806944444444446,0.0284575,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,75.0,79.0,47.0,62.5,56.52,False,
RPLUSDT,RPL,Speculative,522,1.92,372785.0385,-5.419,60.06017479675566,0.030652050165324584,1.8246,2.4071000000000002,0.5767766142374016,0.42647058823529416,0.2904411764705883,1.2165280237142218,0.4803969908370747,1.5933333333333333,2.2566666666666664,doji_4h,0,0,neutre,365,0,0,60,,,17.0,75.0,83.5,53.0,50,56.52,False,Infrastructure|Smart Contract Platform|Decentralized Finance (DeFi)|Polygon Ecosystem|Arbitrum Ecosystem
