symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
VIRTUALUSDT,VIRTUAL,Mid,114,0.6944,5280730.44879,0.711,54.606800131076284,-0.006248651388918086,0.6233360000000001,0.6604570000000001,0.921582202847123,0.18657393407922582,0.12550403225806456,0.8962427844995269,0.6975270482162595,0.5340305555555557,0.7070222222222222,uptrend,1,0,haussier,365,0,0,30,,,31.0,66.0,85.0,78.5,55.2,65,43.69,11,🟢 Surperforme BTC,False,False,,0,,,,65,1,,,457675922,695148488,658385841.8252224,1000000000.0,1000000000.0,65.8,,,
SEIUSDT,SEI,Mid,129,0.04902,3207238.960219,2.595,59.89054240988353,0.00024054108311866965,0.04388879999999999,0.05499430000000001,0.6514710202950607,0.3262918994413408,0.14490223463687144,0.7131002072566877,0.5639066986707318,0.0405625,0.053892499999999996,uptrend|bullish_engulfing_4h,2,0,haussier,365,0,0,30,,,31.0,66.0,73.0,68.0,63.5,65,42.63,11,🟢 Surperforme BTC,False,False,,0,,,,65,0,,,330026333,490138118,6733333333.0,10000000000.0,,67.3,,,
THETAUSDT,THETA,Mid,187,0.1834,336945.34154,4.027,64.78517388033876,-0.0005341455446559382,0.14953399999999997,0.17020900000000005,0.7445579322163048,0.25242130750605335,0.03682272488164113,0.3356318092362367,0.6591748202887072,0.12823333333333334,0.17694166666666666,double_bottom_90d|uptrend|bullish_engulfing_4h,3,0,haussier,365,0,0,30,,,31.0,57.0,77.5,47.0,71.3,65,40.61,11,🟢 Surperforme BTC,False,False,,0,,,,65,5,⚠️ Surveiller,Volume ×0.3 (épuisement)|Près du plus haut 90j (résistance),183236195,183236195,1000000000.0,1000000000.0,1000000000.0,100.0,,,
XECUSDT,XEC,Mid,211,7.42e-06,170566.28646405,3.199,60.16610331025999,2.6772664547241712e-08,6.843800000000001e-06,6.720249999999999e-06,0.6397746744487677,0.31958762886597936,0.15120274914089338,0.24379993349098708,0.1189640769393183,5.124444444444446e-06,7.723055555555558e-06,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,31.0,73.0,67.0,47.0,60.9,65,41.28,11,🟢 Surperforme BTC,False,False,,0,,,,65,2,,Volume ×0.2 (épuisement),148634573,148636886,20079442172580.0,20079776547580.0,21000000000000.0,100.0,,,
REZUSDT,REZ,Speculative,689,0.003115,720865.3827662,1.499,61.20724328418873,5.281523423840531e-06,0.0027557799999999998,0.0034545650000000015,0.7039229842821227,0.3033741415347865,0.07046879665571816,0.5503412436176446,0.5399829882306197,0.002463861111111111,0.0032788333333333333,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,17.0,66.0,77.5,57.5,60.9,65,32.39,11,🟢 Surperforme BTC,False,False,,0,,,,65,2,,Volume ×0.6 (épuisement),27529503,30507204,8856657613.47433,9814629224.12962,10000000000.0,90.2,117993777,$118M,3.98
SLPUSDT,SLP,Speculative,747,0.00067,366038.447482,4.688,64.63195135464079,1.1577244199744594e-06,0.0005700400000000002,0.0005889,0.872652382529618,0.1539763113367175,0.03043478260869561,1.4310507989857084,0.540458796427128,0.0004757222222222222,0.0006323888888888888,rsi_bearish_divergence|macd_bullish_cross|uptrend,2,1,haussier,365,0,0,30,,,17.0,75.0,89.5,47.0,40.8,65,32.14,11,🟢 Surperforme BTC,False,False,,0,,,,65,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,24234002,24234002,36225745775.0,36225719365.0,,100.0,3344933,$3M,7.88
HUMAUSDT,HUMA,Speculative,554,0.02227,287571.40237,2.721,53.64368538211164,2.9835181181415385e-06,0.021009599999999996,0.020357150000000004,1.2348186565763977,0.2851255151742225,0.1622330460846758,0.4124838731641605,0.3117781959917271,0.019622222222222225,0.024450833333333328,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,17.0,73.0,62.5,47.0,60.9,65,31.49,11,🟢 Surperforme BTC,False,False,,0,,,,65,2,,Volume ×0.4 (épuisement),38708146,223316230,1733333333.0,10000000000.0,10000000000.0,17.3,,,
CETUSUSDT,CETUS,Speculative,782,0.02342,284800.945956,-1.472,53.34037737284112,-0.0003038958071181837,0.020796600000000005,0.021176800000000013,0.8945146567045538,0.18041804180418045,0.13971397139713962,0.7563715812982563,0.6639406858811417,0.017143611111111113,0.024346666666666666,uptrend,1,0,haussier,365,0,0,30,,,17.0,66.0,85.0,47.0,55.2,65,31.65,11,🟢 Surperforme BTC,False,False,,0,,,,65,1,,,22469153,23384187,960869565.0,1000000000.0,1000000000.0,96.1,24251139,$24M,4.5
AEVOUSDT,AEVO,Speculative,789,0.02394,224686.755102,1.355,63.27310499728237,3.148717989026313e-05,0.020702,0.02266875000000003,0.649987728173184,0.1532338308457711,0.04932378679395378,0.24752307042057384,0.539976207224953,0.01789555555555555,0.023154722222222226,macd_bullish_cross|bullish_engulfing_4h,2,0,haussier,365,0,0,30,,,17.0,57.0,89.5,47.0,64.1,65,31.38,11,🟢 Surperforme BTC,False,False,,0,,,,65,4,⚠️ Surveiller,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance),22254861,23860638,932701806.9314295,1000000000.0,1000000000.0,93.3,15506391,$16M,1.55
IQUSDT,IQ,Speculative,845,0.000734,79722.849181,3.09,59.29850664499211,5.875983594402907e-06,0.00067658,0.0009250599999999997,0.7829046418335011,0.28537170263788975,0.12110311750599516,1.186966448672539,0.40243054394334465,0.000632361111111111,0.0008230000000000003,uptrend,1,0,haussier,365,0,0,30,,,17.0,75.0,73.0,47.0,55.2,65,32.01,11,🟢 Surperforme BTC,False,False,,0,,,,65,0,,,20117217,20117217,27429826112.929,27429826112.929,60000000000.0,100.0,,,
