symbol,tier,rank_mcap,score_explosif,score_momentum,score_signal,score_catalysts,price,vol_24h_usd,change_24h_pct,rsi_14,vol_ratio,drawdown_90d,ma_50,ma_200,patterns_bull,patterns_bear,catalyst_score,trending_rank,vol_spike,support_90d,resistance_90d,exit_risk,exit_label,exit_reasons
XVGUSDT,Mid,488,58.2,73.0,55.0,30.0,0.002687,2298213.244664,-9.832,55.99225216600161,1.9725678235897623,0.31234073534765194,0.0022954399999999997,0.0032845099999999987,uptrend,,0,,,0.0019786111111111115,0.0027703333333333343,0,✅ OK,
WLDUSDT,Etabli,56,58.01,59.5,61.8,30.0,0.4099,32209466.99141,-9.194,53.82384497691709,0.6772735204548621,0.5559176418308399,0.35946999999999996,0.359088,macd_bullish_cross|golden_cross,,0,,,0.31513611111111106,0.5546583333333333,0,✅ OK,
RSRUSDT,Mid,299,57.3,70.8,55.0,30.0,0.001395,1658966.1453538,-4.973,52.08188114954086,2.2527219512168037,0.27789046653144023,0.0013060799999999998,0.0014816999999999996,uptrend,,0,,,0.001149861111111111,0.0014560277777777777,1,✅ OK,
STRKUSDT,Mid,167,57.2,68.0,55.0,30.0,0.02944,6452947.9132305,-7.421,55.712645924342254,1.173150401290312,0.38099173553719007,0.026386599999999996,0.034061749999999995,uptrend,,0,,,0.023727500000000006,0.033767222222222226,0,✅ OK,
ETCUSDT,Etabli,68,57.2,63.0,60.0,30.0,7.88,4460351.3517,-5.742,56.2941160218264,0.9580527512613574,0.19999999999999996,7.030999999999998,7.825199999999999,macd_bullish_cross|uptrend,,0,,,6.358333333333333,7.861666666666668,0,✅ OK,
ETHUSDT,Etabli,2,56.9,68.5,50.0,30.0,2463.42,637070145.666684,-1.557,60.505501716980156,0.3482735066386662,0.12710104502458072,2149.4035999999996,2050.159849999999,,,0,,,1647.9961111111113,2480.908888888889,5,⚠️ Surveiller,Volume ×0.3 épuisé|Près résistance 90j
ALGOUSDT,Etabli,80,56.88,66.0,56.2,30.0,0.0972,3393938.4834,-1.119,60.163713293844545,0.7157545876907488,0.21874999999999997,0.08682600000000001,0.09600499999999995,double_bottom_90d,,0,,,0.07959166666666667,0.09661111111111112,2,✅ OK,Près résistance 90j
TAOUSDT,Etabli,42,56.7,58.0,60.0,30.0,251.4,28902523.73618,-5.346,60.09928427458992,0.5184931461287431,0.3072378138847859,213.86799999999997,238.2785000000002,macd_bullish_cross|uptrend,,0,,,191.325,253.01944444444447,2,✅ OK,Volume ×0.5 épuisé
AVAXUSDT,Etabli,30,56.7,58.0,60.0,30.0,7.735,18829116.31987,-2.973,59.0018962954246,0.44738063576292625,0.14302325581395348,6.928220000000001,8.039575000000001,macd_bullish_cross|uptrend,,0,,,6.197944444444444,7.582277777777778,4,⚠️ Surveiller,Volume ×0.4 épuisé|Près résistance 90j
WBETHUSDT,Speculative,,56.4,73.5,50.0,30.0,2723.57,1084139.448409,-1.558,60.19202908997968,0.9673010177088148,0.1261295066173115,2371.726800000001,2250.450599999999,,,0,,,1811.4794444444442,2742.0099999999998,3,✅ OK,Près résistance 90j
